id,Names,Distance,Mass,Radius
196,"['W', 'I', 'S', 'E', ' ', '0', '1', '0', '6', '+', '1', '5', '1', '8']","['1', '4', '2', '.', '9']",[],[]
197,"['W', 'I', 'S', 'E', ' ', '0', '1', '2', '3', '+', '4', '1', '4', '2']","['6', '7', '.', '2']",[],[]
198,"['W', 'I', 'S', 'E', ' ', '0', '1', '3', '5', '+', '1', '7', '1', '5']","['7', '7', '.', '3']",[],[]
199,"['W', 'I', 'S', 'E', ' ', '0', '1', '3', '8', '-', '0', '3', '2', '2']","['5', '7', '.', '7']",[],[]
200,"['W', 'I', 'S', 'E', ' ', '0', '1', '4', '6', '+', '4', '2', '3', '4']","['2', '0', '.', '5']",[],[]
201,"['W', 'I', 'S', 'E', ' ', '0', '1', '4', '8', '-', '7', '2', '0', '2']","['3', '0']",[],[]
202,"['W', 'I', 'S', 'E', ' ', '0', '1', '5', '0', '+', '3', '8', '2', '7']","['6', '1', '.', '3']",[],[]
203,"['W', 'I', 'S', 'E', ' ', '0', '2', '0', '6', '+', '2', '6', '4', '0']","['5', '8', '.', '4']",[],[]
204,"['W', 'I', 'S', 'E', ' ', '0', '2', '2', '1', '+', '3', '8', '4', '2']","['7', '3', '.', '1']",[],[]
205,"['W', 'I', 'S', 'E', ' ', '0', '2', '2', '3', '-', '2', '9', '3', '2']","['4', '7']",[],[]
206,"['W', 'I', 'S', 'E', ' ', '0', '2', '2', '6', '-', '0', '2', '1', '1']","['9', '1']",[],[]
207,"['W', 'I', 'S', 'E', ' ', '0', '2', '4', '1', '-', '3', '6', '5', '3']","['5', '3', '.', '8']",[],[]
208,"['W', 'I', 'S', 'E', ' ', '0', '2', '4', '5', '-', '3', '4', '5', '0']","['5', '6', '.', '1']",[],[]
209,"['W', 'I', 'S', 'E', ' ', '0', '2', '4', '7', '+', '3', '7', '2', '5']","['5', '7', '.', '1']",[],[]
210,"['W', 'I', 'S', 'E', ' ', '0', '3', '0', '5', '+', '3', '9', '5', '4']","['7', '5']",[],[]
211,"['W', 'I', 'S', 'E', ' ', '0', '3', '0', '7', '+', '2', '9', '0', '4']","['8', '2', '.', '8']",[],[]
212,"['W', 'I', 'S', 'E', ' ', '0', '3', '1', '3', '+', '7', '8', '0', '7']","['2', '8']",[],[]
213,"['W', 'I', 'S', 'E', ' ', '0', '3', '1', '6', '+', '4', '3', '0', '7']","['1', '0', '6', '.', '3']",[],[]
214,"['W', 'I', 'S', 'E', ' ', '0', '3', '2', '1', '-', '7', '3', '4', '7']","['8', '4', '.', '8']",[],[]
215,"['W', 'I', 'S', 'E', ' ', '0', '3', '2', '3', '-', '6', '0', '2', '5']","['4', '5', '.', '3']",[],[]
216,"['W', 'I', 'S', 'E', ' ', '0', '3', '2', '5', '-', '3', '8', '5', '4']","['5', '1', '.', '2']",[],[]
217,"['W', 'I', 'S', 'E', ' ', '0', '3', '2', '5', '+', '0', '8', '3', '1']","['3', '6', '.', '5']",[],[]
218,"['W', 'I', 'S', 'E', ' ', '0', '3', '3', '3', '-', '5', '8', '5', '6']","['5', '4', '.', '8']",[],[]
219,"['W', 'I', 'S', 'E', ' ', '0', '3', '3', '5', '+', '4', '3', '1', '0']","['4', '5', '.', '7']",[],[]
220,"['W', 'I', 'S', 'E', ' ', '0', '3', '3', '6', '-', '0', '1', '4', '3']","['5', '5', '.', '4']",[],[]
221,"['W', 'I', 'S', 'E', ' ', '0', '3', '5', '0', '-', '5', '6', '5', '8']","['1', '7', '.', '7']",[],[]
222,"['W', 'I', 'S', 'E', ' ', '0', '3', '5', '9', '-', '5', '4', '0', '1']","['1', '9', '.', '2']",[],[]
223,"['W', 'I', 'S', 'E', ' ', '0', '4', '1', '0', '+', '1', '5', '0', '2']","['2', '0']",['6'],"['1', '.', '1', '7']"
224,"['W', 'I', 'S', 'E', ' ', '0', '4', '1', '0', '+', '1', '4', '1', '1']","['8', '5', '.', '8']",[],[]
225,"['W', 'I', 'S', 'E', ' ', '0', '4', '1', '3', '-', '4', '7', '5', '0']","['6', '6', '.', '2']",[],[]
226,"['W', 'I', 'S', 'E', ' ', '0', '4', '4', '8', '-', '1', '9', '3', '5']","['6', '9', '.', '8']",[],[]
227,"['W', 'I', 'S', 'E', ' ', '0', '4', '5', '8', '+', '6', '4', '3', '4', 'A']","['3', '5', '.', '9']","['1', '5']","['4', '.', '2']"
228,"['W', 'I', 'S', 'E', ' ', '0', '4', '5', '8', '+', '6', '4', '3', '4', 'B']","['3', '5', '.', '9']","['1', '0']","['3', '.', '8']"
229,"['W', 'I', 'S', 'E', ' ', '0', '5', '0', '0', '-', '1', '2', '2', '3']","['4', '7']",[],[]
230,"['W', 'I', 'S', 'E', ' ', '0', '5', '1', '3', '+', '0', '6', '0', '8']","['4', '4', '.', '7']",[],[]
231,"['W', 'I', 'S', 'E', ' ', '0', '5', '2', '5', '+', '6', '7', '3', '9']","['9', '8', '.', '2']",[],[]
232,"['W', 'I', 'S', 'E', ' ', '0', '5', '2', '8', '-', '3', '3', '0', '8']","['5', '7', '.', '4']",[],[]
233,"['W', 'I', 'S', 'E', ' ', '0', '5', '3', '5', '-', '7', '5', '0', '0']","['4', '7']",[],[]
234,"['W', 'I', 'S', 'E', ' ', '0', '5', '3', '9', '-', '1', '0', '3', '4']","['8', '4', '.', '8']",[],[]
235,"['W', 'I', 'S', 'E', ' ', '0', '5', '4', '2', '-', '1', '6', '2', '8']","['5', '0', '.', '6']",[],[]
236,"['W', 'I', 'S', 'E', ' ', '0', '6', '0', '7', '+', '2', '4', '2', '9']","['2', '5', '.', '4']",[],[]
237,"['W', 'I', 'S', 'E', ' ', '0', '6', '1', '1', '-', '0', '4', '1', '0']","['5', '7', '.', '7']",[],[]
238,"['W', 'I', 'S', 'E', ' ', '0', '6', '1', '2', '-', '4', '9', '2', '0']","['9', '5', '.', '2']",[],[]
239,"['W', 'I', 'S', 'E', ' ', '0', '6', '1', '2', '-', '3', '0', '3', '6']","['6', '4', '.', '9']",[],[]
240,"['W', 'I', 'S', 'E', ' ', '0', '6', '1', '4', '+', '3', '9', '1', '2']","['5', '0', '.', '2']",[],[]
241,"['W', 'I', 'S', 'E', ' ', '0', '6', '1', '4', '+', '0', '9', '5', '1']","['5', '1', '.', '5']",[],[]
242,"['W', 'I', 'S', 'E', ' ', '0', '6', '2', '3', '-', '0', '4', '5', '6']","['3', '7', '.', '5']",[],[]
243,"['W', 'I', 'S', 'E', ' ', '0', '6', '2', '5', '+', '5', '6', '4', '6']","['6', '7', '.', '2']",[],[]
244,"['W', 'I', 'S', 'E', ' ', '0', '6', '2', '7', '-', '1', '1', '1', '4']","['3', '7', '.', '2']",[],[]
245,"['W', 'I', 'S', 'E', ' ', '0', '6', '4', '7', '-', '6', '2', '3', '2']","['2', '8']",[],[]
246,"['W', 'I', 'S', 'E', ' ', '0', '6', '5', '6', '+', '4', '2', '0', '5']","['5', '4', '.', '1']",[],[]
247,"['W', 'I', 'S', 'E', ' ', '0', '7', '1', '3', '-', '2', '9', '1', '7']","['2', '3', '.', '2']",[],[]
248,"['W', 'I', 'S', 'E', ' ', '0', '7', '2', '3', '+', '3', '4', '0', '3']","['4', '5', '.', '7']",[],[]
249,"['W', 'I', 'S', 'E', ' ', '0', '7', '3', '3', '+', '7', '5', '4', '4']","['7', '8', '.', '3']",[],[]
250,"['W', 'I', 'S', 'E', ' ', '0', '7', '3', '4', '-', '7', '1', '5', '7']","['3', '4', '.', '9']",[],[]
251,"['W', 'I', 'S', 'E', ' ', '0', '7', '4', '4', '+', '5', '6', '2', '8']","['4', '7', '.', '3']",[],[]
252,"['W', 'I', 'S', 'E', ' ', '0', '7', '5', '0', '+', '2', '7', '2', '5']","['5', '1', '.', '5']",[],[]
253,"['W', 'I', 'S', 'E', ' ', '0', '7', '5', '1', '-', '7', '6', '3', '4']","['3', '9', '.', '1']",[],[]
254,"['W', 'I', 'S', 'E', ' ', '0', '7', '5', '9', '-', '4', '9', '0', '4']","['3', '8', '.', '8']",[],[]
255,"['W', 'I', 'S', 'E', ' ', '0', '8', '1', '1', '-', '8', '0', '5', '1']","['3', '2']",[],[]
256,"['W', 'I', 'S', 'E', ' ', '0', '8', '1', '2', '+', '4', '0', '2', '1']","['6', '3', '.', '6']",[],[]
257,"['W', 'I', 'S', 'E', ' ', '0', '8', '1', '9', '-', '0', '3', '3', '5']","['4', '6']",[],[]
258,"['W', 'I', 'S', 'E', ' ', '0', '8', '2', '1', '+', '1', '4', '4', '3']","['6', '8', '.', '2']",[],[]
259,"['W', 'I', 'S', 'E', ' ', '0', '8', '3', '6', '-', '1', '8', '5', '9']","['7', '2', '.', '4']",[],[]
260,"['W', 'I', 'S', 'E', ' ', '0', '8', '5', '7', '+', '5', '6', '0', '4']","['4', '2', '.', '1']",[],[]
261,"['W', 'I', 'S', 'E', ' ', '0', '9', '0', '6', '+', '4', '7', '3', '5']","['5', '1', '.', '5']",[],[]
262,"['W', 'I', 'S', 'E', ' ', '0', '9', '2', '9', '+', '0', '4', '0', '9']","['6', '4', '.', '9']",[],[]
263,"['W', 'I', 'S', 'E', ' ', '0', '9', '5', '2', '+', '1', '9', '5', '5']","['7', '2', '.', '1']",[],[]
264,"['W', 'I', 'S', 'E', ' ', '1', '0', '1', '8', '-', '2', '4', '4', '5']","['4', '7', '.', '6']",[],[]
265,"['W', 'I', 'S', 'E', ' ', '1', '0', '1', '9', '+', '6', '5', '2', '9']","['5', '6', '.', '8']",[],[]
266,"['W', 'I', 'S', 'E', ' ', '1', '0', '3', '9', '-', '1', '6', '0', '0']","['4', '7', '.', '3']",[],[]
267,"['W', 'I', 'S', 'E', ' ', '1', '0', '4', '2', '-', '3', '8', '4', '2']","['5', '3', '.', '2']",[],[]
268,"['W', 'I', 'S', 'E', ' ', '1', '0', '5', '1', '-', '2', '1', '3', '8']","['4', '0', '.', '8']",[],[]
269,"['W', 'I', 'S', 'E', ' ', '1', '1', '2', '2', '+', '2', '5', '5', '0']","['5', '7', '.', '7']",[],[]
270,"['W', 'I', 'S', 'E', ' ', '1', '1', '2', '4', '-', '0', '4', '2', '1']","['5', '0', '.', '6']",[],[]
271,"['W', 'I', 'S', 'E', ' ', '1', '1', '4', '7', '-', '2', '0', '4', '0']","['1', '0', '2']",[],[]
272,"['W', 'I', 'S', 'E', ' ', '1', '1', '5', '0', '+', '6', '3', '0', '2']","['3', '2', '.', '9']",[],[]
273,"['W', 'I', 'S', 'E', ' ', '1', '2', '1', '7', '+', '1', '6', '2', '6', 'A']","['3', '4', '.', '2']","['1', '2']",[]
274,"['W', 'I', 'S', 'E', ' ', '1', '2', '1', '7', '+', '1', '6', '2', '6', 'B']","['3', '4', '.', '2']",['6'],[]
275,"['W', 'I', 'S', 'E', ' ', '1', '2', '2', '5', '-', '1', '0', '1', '3']","['5', '5', '.', '4']",[],[]
276,"['W', 'I', 'S', 'E', ' ', '1', '3', '1', '1', '+', '0', '1', '2', '2']","['4', '4', '.', '4']",[],[]
277,"['W', 'I', 'S', 'E', ' ', '1', '3', '1', '1', '+', '3', '6', '2', '9']","['8', '6', '.', '1']",[],[]
278,"['W', 'I', 'S', 'E', ' ', '1', '3', '1', '8', '-', '1', '7', '5', '8']","['3', '2', '.', '9']",[],[]
279,"['W', 'I', 'S', 'E', ' ', '1', '3', '2', '0', '+', '6', '0', '3', '4']","['5', '6', '.', '1']",[],[]
280,"['W', 'I', 'S', 'E', ' ', '1', '3', '2', '2', '-', '2', '3', '4', '0']","['3', '3', '.', '9']",[],[]
281,"['W', 'I', 'S', 'E', ' ', '1', '3', '4', '8', '+', '6', '6', '0', '3']","['9', '1']",[],[]
282,"['W', 'I', 'S', 'E', ' ', '1', '4', '0', '5', '+', '5', '5', '3', '4']","['2', '5', '.', '3']","['3', '0']","['0', '.', '8', '6']"
283,"['W', 'I', 'S', 'E', ' ', '1', '4', '3', '3', '-', '0', '8', '3', '7']","['8', '4', '.', '8']",[],[]
284,"['W', 'I', 'S', 'E', ' ', '1', '4', '3', '6', '-', '1', '8', '1', '4']","['6', '0']",[],[]
285,"['W', 'I', 'S', 'E', ' ', '1', '4', '5', '7', '+', '5', '8', '1', '5']","['5', '2', '.', '2']",[],[]
286,"['W', 'I', 'S', 'E', ' ', '1', '5', '0', '6', '+', '7', '0', '2', '7']","['1', '1', '.', '1']",[],[]
287,"['W', 'I', 'S', 'E', ' ', '1', '5', '1', '7', '+', '0', '5', '2', '9']","['7', '2', '.', '4']",[],[]
288,"['W', 'I', 'S', 'E', ' ', '1', '5', '1', '9', '+', '7', '0', '0', '9']","['5', '0', '.', '9']",[],[]
289,"['W', 'I', 'S', 'E', ' ', '1', '5', '2', '3', '+', '3', '1', '2', '5']","['8', '4', '.', '5']",[],[]
290,"['W', 'I', 'S', 'E', ' ', '1', '5', '4', '1', '-', '2', '2', '5', '0']","['2', '0']",[],[]
291,"['W', 'I', 'S', 'E', ' ', '1', '5', '4', '2', '+', '2', '2', '3', '0']","['4', '1', '.', '1']",[],[]
292,"['W', 'I', 'S', 'E', ' ', '1', '6', '1', '2', '-', '3', '4', '2', '0']","['5', '5', '.', '4']",[],[]
293,"['W', 'I', 'S', 'E', ' ', '1', '6', '1', '4', '+', '1', '7', '3', '9']","['3', '2', '.', '6']",[],[]
294,"['W', 'I', 'S', 'E', ' ', '1', '6', '1', '7', '+', '1', '8', '0', '7']","['5', '0', '.', '2']",[],[]
295,"['W', 'I', 'S', 'E', ' ', '1', '6', '2', '2', '-', '0', '9', '5', '9']","['5', '2', '.', '2']",[],[]
296,"['W', 'I', 'S', 'E', ' ', '1', '6', '2', '7', '+', '3', '2', '5', '5']","['5', '0', '.', '2']",[],[]
297,"['W', 'I', 'S', 'E', ' ', '1', '6', '3', '9', '-', '6', '8', '4', '7']","['1', '6', '.', '3']",[],[]
298,"['W', 'I', 'S', 'E', ' ', '1', '6', '4', '7', '+', '5', '6', '3', '2']","['2', '8']",[],[]
299,"['W', 'I', 'S', 'E', ' ', '1', '6', '5', '3', '+', '4', '4', '4', '4']","['3', '9', '.', '5']",[],[]
300,"['W', 'I', 'S', 'E', ' ', '1', '7', '1', '1', '+', '3', '5', '0', '0']","['6', '0', '.', '3']",[],[]
301,"['W', 'I', 'S', 'E', ' ', '1', '7', '1', '7', '+', '6', '1', '2', '9']","['7', '2', '.', '7']",[],[]
302,"['W', 'I', 'S', 'E', ' ', '1', '7', '2', '1', '+', '1', '1', '1', '7']","['6', '2', '.', '3']",[],[]
303,"['W', 'I', 'S', 'E', ' ', '1', '7', '2', '8', '+', '5', '7', '1', '6']","['9', '7', '.', '8']",[],[]
304,"['W', 'I', 'S', 'E', ' ', '1', '7', '3', '8', '+', '2', '7', '3', '2']","['2', '0']",[],[]
305,"['W', 'I', 'S', 'E', ' ', '1', '7', '4', '1', '+', '2', '5', '5', '3']","['1', '8', '.', '9']",[],[]
306,"['W', 'I', 'S', 'E', ' ', '1', '7', '4', '6', '-', '0', '3', '3', '8']","['8', '3', '.', '8']",[],[]
307,"['W', 'I', 'S', 'E', ' ', '1', '8', '0', '0', '+', '0', '1', '3', '4']","['2', '8', '.', '7']","['5', '7']",[]
308,"['W', 'I', 'S', 'E', ' ', '1', '8', '0', '4', '+', '3', '1', '1', '7']","['3', '0']",[],[]
309,"['W', 'I', 'S', 'E', ' ', '1', '8', '0', '9', '+', '3', '8', '3', '8']","['7', '4', '.', '4']",[],[]
310,"['W', 'I', 'S', 'E', ' ', '1', '8', '1', '2', '+', '2', '7', '2', '1']","['4', '7']",[],[]
311,"['W', 'I', 'S', 'E', ' ', '1', '8', '2', '8', '+', '2', '6', '5', '0']","['3', '6']",[],[]
312,"['W', 'I', 'S', 'E', ' ', '1', '8', '3', '0', '+', '4', '5', '4', '2']","['1', '0', '7']",[],[]
313,"['W', 'I', 'S', 'E', ' ', '1', '8', '4', '1', '+', '7', '0', '0', '0']","['1', '3', '1', '.', '1']",[],[]
314,"['W', 'I', 'S', 'E', ' ', '1', '8', '5', '2', '+', '3', '5', '3', '7']","['5', '5', '.', '4']",[],[]
315,"['W', 'I', 'S', 'E', ' ', '1', '9', '0', '6', '+', '4', '5', '0', '8']","['5', '1', '.', '5']",[],[]
316,"['W', 'I', 'S', 'E', ' ', '1', '9', '2', '8', '+', '2', '3', '5', '6']","['2', '2', '.', '8']",[],[]
317,"['W', 'I', 'S', 'E', ' ', '1', '9', '5', '2', '+', '7', '2', '4', '0']","['4', '4', '.', '4']",[],[]
318,"['W', 'I', 'S', 'E', ' ', '1', '9', '5', '9', '-', '3', '3', '3', '8']","['3', '7', '.', '2']",[],[]
319,"['W', 'I', 'S', 'E', ' ', '2', '0', '3', '0', '+', '0', '7', '4', '9']","['3', '4', '.', '2']",[],[]
320,"['W', 'I', 'S', 'E', ' ', '2', '0', '1', '4', '+', '0', '4', '2', '4']","['9', '6', '.', '2']",[],[]
321,"['W', 'I', 'S', 'E', ' ', '2', '0', '1', '5', '+', '6', '6', '4', '6']","['5', '0', '.', '6']",[],[]
322,"['W', 'I', 'S', 'E', ' ', '2', '0', '1', '8', '-', '7', '4', '2', '3']","['4', '7', '.', '9']",[],[]
323,"['W', 'I', 'S', 'E', ' ', '2', '0', '1', '9', '-', '1', '1', '4', '8']","['4', '2', '.', '4']",[],[]
324,"['W', 'I', 'S', 'E', ' ', '2', '0', '5', '6', '+', '1', '4', '5', '9']","['2', '4', '.', '5']",[],[]
325,"['W', 'I', 'S', 'E', ' ', '2', '1', '3', '4', '-', '7', '1', '3', '7']","['4', '2', '.', '7']",[],[]
326,"['W', 'I', 'S', 'E', ' ', '2', '1', '5', '7', '+', '2', '6', '5', '9']","['6', '1', '.', '6']",[],[]
327,"['W', 'I', 'S', 'E', ' ', '2', '2', '0', '9', '-', '2', '7', '3', '4']","['4', '6']",[],[]
328,"['W', 'I', 'S', 'E', ' ', '2', '2', '1', '3', '+', '0', '9', '1', '1']","['5', '8', '.', '7']",[],[]
329,"['W', 'I', 'S', 'E', ' ', '2', '2', '2', '0', '-', '3', '6', '2', '8']","['2', '6', '.', '4']",[],[]
330,"['W', 'I', 'S', 'E', ' ', '2', '2', '2', '6', '+', '0', '4', '4', '0']","['4', '5']",[],[]
331,"['W', 'I', 'S', 'E', ' ', '2', '2', '3', '7', '-', '0', '6', '1', '4']","['5', '3', '.', '5']",[],[]
332,"['W', 'I', 'S', 'E', ' ', '2', '2', '3', '7', '+', '7', '2', '2', '8']","['4', '6']",[],[]
333,"['W', 'I', 'S', 'E', ' ', '2', '2', '3', '9', '+', '1', '6', '1', '7']","['5', '9', '.', '7']",[],[]
334,"['W', 'I', 'S', 'E', ' ', '2', '2', '5', '5', '-', '3', '1', '1', '8']","['4', '4', '.', '7']",[],[]
335,"['W', 'I', 'S', 'E', ' ', '2', '3', '0', '1', '+', '0', '2', '1', '6']","['6', '0', '.', '7']",[],[]
336,"['W', 'I', 'S', 'E', ' ', '2', '3', '1', '3', '-', '8', '0', '3', '7']","['3', '5', '.', '9']",[],[]
337,"['W', 'I', 'S', 'E', ' ', '2', '3', '1', '9', '-', '1', '8', '4', '4']","['5', '2', '.', '2']",[],[]
338,"['W', 'I', 'S', 'E', ' ', '2', '3', '2', '5', '-', '4', '1', '0', '5']","['3', '7', '.', '5']",[],[]
339,"['W', 'I', 'S', 'E', ' ', '2', '3', '2', '7', '-', '2', '7', '3', '0']","['7', '0', '.', '8']",[],[]
340,"['W', 'I', 'S', 'E', ' ', '2', '3', '3', '5', '+', '4', '2', '2', '2']","['9', '0', '.', '3']",[],[]
341,"['W', 'I', 'S', 'E', ' ', '2', '3', '4', '0', '-', '0', '7', '4', '5']","['3', '7', '.', '8']",[],[]
342,"['W', 'I', 'S', 'E', ' ', '2', '3', '4', '2', '+', '0', '8', '5', '6']","['5', '1', '.', '2']",[],[]
343,"['W', 'I', 'S', 'E', ' ', '2', '3', '4', '3', '-', '7', '4', '1', '8']","['4', '8', '.', '6']",[],[]
344,"['W', 'I', 'S', 'E', ' ', '2', '3', '4', '4', '+', '1', '0', '3', '4']","['4', '6']",[],[]
345,"['W', 'I', 'S', 'E', ' ', '2', '3', '4', '8', '-', '1', '0', '2', '8']","['5', '4', '.', '1']",[],[]
346,"['W', 'I', 'S', 'E', ' ', '2', '3', '5', '7', '+', '1', '2', '2', '7']","['5', '4', '.', '8']",[],[]
347,"['W', 'I', 'S', 'E', ' ', '2', '3', '5', '9', '-', '7', '3', '3', '5']","['4', '2', '.', '7']",[],[]
348,"['W', 'I', 'S', 'E', 'A', ' ', '1', '1', '0', '1', '+', '5', '4', '0', '0']","['1', '1', '1']",[],[]
349,"['2', 'M', '1', '5', '1', '0']","['1', '2', '0']",[],[]
